name,position,team,bye,site0,rank0,value0,site1,rank1,tier,posrank,value1,diff,Espn top 100,Rotoworld ranked,Rotoworld top 100,Both top,any top,"R top, E not top","R rank, e not top",big diff
K. Allen,WR,SD,10,espn,47,15,rotoworld,51,wrT4,wr21,,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
D. Jackson,WR,WAS,8,espn,49,13,rotoworld,50,wrT4,wr20,,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
V. Jackson,WR,TB,6,espn,56,10,rotoworld,76,wrT6,wr34,,20,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Cooper,WR,OAK,6,espn,57,10,rotoworld,61,wrT5,wr27,,4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
G. Tate,WR,DET,9,espn,58,9,rotoworld,58,wrT5,wr25,,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Johnson,WR,IND,10,espn,59,9,rotoworld,36,wrT3,wr18,,-23,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
B. Marshall,WR,NYJ,5,espn,60,9,rotoworld,53,wrT5,wr23,,-7,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Wallace,WR,MIN,5,espn,61,8,rotoworld,82,wrT6,wr37,,21,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Maclin,WR,KC,9,espn,65,7,rotoworld,59,wrT5,wr26,,-6,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
J. Landry,WR,MIA,5,espn,68,7,rotoworld,73,wrT6,wr32,,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
A. Robinson,WR,JAC,8,espn,71,6,rotoworld,69,wrT6,wr30,,-2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
E. Decker,WR,NYJ,5,espn,72,6,rotoworld,74,wrT6,wr33,,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
K. White,WR,CHI,7,espn,73,6,,,,,,1000,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,FALSE
B. LaFell,WR,NE,4,espn,75,5,rotoworld,84,wrT6,wr38,,9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
N. Agholor,WR,PHI,8,espn,77,5,rotoworld,66,wrT5,wr28,,-11,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
R. White,WR,ATL,10,espn,80,4,rotoworld,85,wrT6,wr39,,5,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
M. Bryant,WR,PIT,11,espn,84,4,rotoworld,52,wrT4,wr22,,-32,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
T. Smith,WR,SF,10,espn,85,4,rotoworld,81,wrT6,wr36,,-4,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
B. Perriman,WR,BAL,9,espn,88,3,rotoworld,70,wrT6,wr31,,-18,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
M. Floyd,WR,ARI,9,espn,93,3,rotoworld,78,wrT6,wr35,,-15,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
C. Johnson,WR,MIN,5,espn,96,2,rotoworld,67,wrT5,wr29,,-29,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,TRUE
L. Fitzgerald,WR,ARI,9,espn,99,2,rotoworld,111,wrT7,wr46,,12,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,FALSE
M. Colston,WR,NO,11,espn,104,2,rotoworld,112,wrT7,wr47,,8,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
P. Harvin,WR,BUF,8,espn,105,2,rotoworld,156,wrT8,wr59,,51,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
K. Wright,WR,TEN,4,espn,107,2,rotoworld,109,wrT7,wr44,,2,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
S. Smith,WR,BAL,9,espn,108,2,rotoworld,102,wrT7,wr42,,-6,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
A. Boldin,WR,SF,10,espn,113,2,rotoworld,92,wrT7,wr40,,-21,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,TRUE
J. Brown,WR,ARI,9,espn,114,2,rotoworld,110,wrT7,wr45,,-4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Adams,WR,GB,7,espn,118,2,rotoworld,124,wrT8,wr50,,6,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Parker,WR,MIA,5,espn,119,2,rotoworld,126,wrT8,wr51,,7,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
C. Latimer,WR,DEN,7,espn,125,2,rotoworld,167,wrT8,wr61,,42,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Moncrief,WR,IND,10,espn,129,2,rotoworld,177,wrT8,wr63,,48,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
V. Cruz,WR,NYG,11,espn,131,1,rotoworld,135,wrT8,wr53,,4,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
P. Garcon,WR,WAS,8,espn,135,1,rotoworld,119,wrT8,wr48,,-16,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Floyd,WR,SD,10,espn,138,1,rotoworld,179,wrT8,wr64,,41,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Baldwin,WR,SEA,9,espn,149,1,rotoworld,154,wrT8,wr57,,5,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
D. Green-Beckham,WR,TEN,4,espn,163,0,rotoworld,166,wrT8,wr60,,3,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
B. Quick,WR,STL,6,espn,165,0,rotoworld,101,wrT7,wr41,,-64,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
T. Williams,WR,DAL,6,espn,168,0,rotoworld,123,wrT8,wr49,,-45,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Lee,WR,JAC,8,espn,174,0,rotoworld,174,wrT8,wr62,,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE
M. Jones,WR,CIN,7,espn,177,0,rotoworld,155,wrT8,wr58,,-22,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Strong,WR,HOU,9,espn,183,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Stills,WR,MIA,5,espn,185,0,rotoworld,105,wrT7,wr43,,-80,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
T. Lockett,WR,SEA,9,espn,186,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. Funchess,WR,CAR,5,espn,195,0,rotoworld,148,wrT8,wr56,,-47,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
R. Randle,WR,NYG,11,espn,197,0,rotoworld,136,wrT8,wr54,,-61,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Crabtree,WR,OAK,6,espn,199,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
B. Coleman,WR,NO,11,espn,201,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
N. Toon,WR,NO,11,espn,202,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. Bowe,WR,CLE,11,espn,206,0,rotoworld,127,wrT8,wr52,,-79,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
M. Wheaton,WR,PIT,11,espn,207,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Britt,WR,STL,6,espn,217,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
D. Smith,WR,NYJ,5,espn,224,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
P. Dorsett,WR,IND,10,espn,225,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Johnson,WR,SD,10,espn,226,0,rotoworld,190,wrT8,wr65,,-36,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
J. Hunter,WR,TEN,4,espn,228,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Coates,WR,PIT,11,espn,229,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Patterson,WR,MIN,5,espn,232,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Shorts,WR,HOU,9,espn,233,0,rotoworld,200,wrT8,wr66,,-33,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
C. Beasley,WR,DAL,6,espn,234,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Hawkins,WR,CLE,11,espn,236,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Hurns,WR,JAC,8,espn,237,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
G. Jennings,WR,MIA,5,espn,238,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
E. Royal,WR,CHI,7,espn,239,0,rotoworld,140,wrT8,wr55,,-99,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,TRUE
D. Amendola,WR,NE,4,espn,246,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Kearse,WR,SEA,9,espn,253,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
C. Conley,WR,KC,9,espn,262,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Hardy,WR,ATL,10,espn,265,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Wright,WR,MIN,5,espn,267,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Brown,WR,BAL,9,espn,269,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
T. Austin,WR,STL,6,espn,270,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
J. Huff,WR,PHI,8,espn,274,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Woods,WR,BUF,8,espn,275,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
A. Wilson,WR,KC,9,espn,279,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
K. Bell,WR,TB,6,espn,280,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
M. Sanu,WR,CIN,7,espn,282,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Streater,WR,OAK,6,espn,293,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
S. Bailey,WR,STL,6,espn,295,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
R. Cooper,WR,PHI,8,espn,298,0,,,,,,1000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE
